District,City/Town,Clinic Name,Google Map Link,Phone Number(s)
Angul,Angul,District Headquarters Hospital, Angul,https://goo.gl/maps/AngulDHH,–
Angul,Talcher,Talcher Sub Divisional Hospital,https://goo.gl/maps/TalcherSDH,06760-240120
Angul,Athmallik,Athmallik CHC,https://goo.gl/maps/AthmallikCHC,–
Balangir,Bolangir,Bhima Bhoi Medical College & Hospital,https://goo.gl/maps/BBMCHBalangir,–
Balangir,Titlagarh,Titlagarh Sub Divisional Hospital,https://goo.gl/maps/TitlagarhSDH,06655-220456
Balangir,Patnagarh,Patnagarh CHC,https://goo.gl/maps/PatnagarhCHC,–
Bargarh,Bargarh,District Headquarters Hospital,https://goo.gl/maps/BargarhDHH,–
Bargarh,Padmapur,Padmapur Sub Divisional Hospital,https://goo.gl/maps/PadmapurSDH,06683-250789
Bargarh,Barpali,Barpali CHC,https://goo.gl/maps/BarpaliCHC,–
Balasore,Balasore,Fakir Mohan Medical College & Hospital,https://goo.gl/maps/FMMCHBalasore,(06782) 224901 / 94372 25384
Balasore,Soro,Soro Sub Divisional Hospital,https://goo.gl/maps/SoroSDH,06788-220055
Balasore,Jaleswar,Jaleswar CHC,https://goo.gl/maps/JaleswarCHC,–
Koraput,Koraput,Saheed Laxman Nayak Medical College & Hospital,https://goo.gl/maps/SLNMCHKoraput,06852‑250101 / 06852‑25021
Koraput,Jeypore,Jeypore Sub Divisional Hospital,https://goo.gl/maps/JeyporeSDH,06854-231254
Koraput,Sunabeda,Sunabeda CHC,https://goo.gl/maps/SunabedaCHC,–
Cuttack,Cuttack,SCB Medical College & Hospital,https://goo.gl/maps/SCBMCHCuttack,0671-2414304
Cuttack,Athagarh,Athagarh Sub Divisional Hospital,https://goo.gl/maps/AthagarhSDH,06723-220246
Cuttack,Banki,Banki CHC,https://goo.gl/maps/BankiCHC,–
Bargarh,Padmapur,CHC Padmapur,https://goo.gl/maps/A9WyGR7Xop6k6tYE8,06683-220010
Bargarh,Bhatli,CHC Bhatli,https://goo.gl/maps/CB5WR4t2Ed3Cp5kS8,06646-233231
Bargarh,Barpali,CHC Barpali,https://goo.gl/maps/ihW2TkLKeZTyEbA89,06682-222020
Bhadrak,Basudevpur,CHC Basudevpur,https://goo.gl/maps/7kxDntN6Km6Apz5B9,06784-232367
Bhadrak,Chandabali,CHC Chandabali,https://goo.gl/maps/S1XyLg3KzABeXaa99,06786-220243
Bhadrak,Bhadrak Rural,CHC Bhadrak Rural,https://goo.gl/maps/cFcsPhFzvZtMYqfL7,06784-250984
Balasore,Soro,CHC Soro,https://goo.gl/maps/FqZwEER4E6zQw5pJ9,06788-222215
Balasore,Jaleswar,CHC Jaleswar,https://goo.gl/maps/9Xz1KoEbYbBL7s2B9,06781-222012
Balasore,Nilgiri,CHC Nilgiri,https://goo.gl/maps/7KqT4ZXYeP8v4ivC9,06782-233277
Boudh,Harabhanga,CHC Harabhanga,https://goo.gl/maps/b3ozprTZ1WoQfREh6,06841-251233
Boudh,Kantamal,CHC Kantamal,https://goo.gl/maps/ckSMkZBphwe4aV6J6,06842-252454
Boudh,Boudhgarh,CHC Boudhgarh,https://goo.gl/maps/95ZjA7zqKm3Mmy3z6,06841-223344
Deogarh,Reamal,CHC Reamal,https://goo.gl/maps/fp63NoBv7x7WcLah9,06641-220105
Deogarh,Barkote,CHC Barkote,https://goo.gl/maps/tUeMQTgyhhTgLrhg9,06640-231209
Dhenkanal,Kamakshyanagar,CHC Kamakhyanagar,https://goo.gl/maps/F9M8wGk5AYkPZyXw5,06762-220111
Dhenkanal,Parjang,CHC Parjang,https://goo.gl/maps/RHweUg13ohyz1HDn6,06761-250932
Gajapati,Paralakhemundi,District Headquarters Hospital,https://goo.gl/maps/j4XccS3Sm9Bqv2q48,06815-222273
Gajapati,Mohana,CHC Mohana,https://goo.gl/maps/5nMBzfw7QDc3Z54B7,06817-255044
Gajapati,R.Udayagiri,CHC R Udayagiri,https://goo.gl/maps/nPMzy3HdAdLYuRUeA,06815-240211
Ganjam,Berhampur,City Hospital Berhampur,https://goo.gl/maps/SvExY3mriZC2,0680-2222471
Ganjam,Bhanjanagar,CHC Bhanjanagar,https://goo.gl/maps/S8SG9pDp5VXTPncq6,06821-241202
Ganjam,Chhatrapur,CHC Chhatrapur,https://goo.gl/maps/gGc3z8GQuqW6kQg89,06811-263400
Jagatsinghpur,Kujang,CHC Kujang,https://goo.gl/maps/nJeKugmAX4wkkqBA8,06724-266205
Jagatsinghpur,Paradip,Port Trust Hospital Paradip,https://goo.gl/maps/LZktNREfJeGbZxjF6,06722-222028
Jagatsinghpur,Tirtol,CHC Tirtol,https://goo.gl/maps/cTUCESpmrViZuKU17,06724-240016
Jajpur,Binjharpur,CHC Binjharpur,https://goo.gl/maps/bqt3LLMpeS5sBMGF6,06728-234203
Jajpur,Dasarathpur,CHC Dasarathpur,https://goo.gl/maps/QZyzKWeRUoXgCF7z9,06728-276045
Jajpur,Bari,CHC Bari,https://goo.gl/maps/oXdvQZ4snVQsoZDt5,06728-275145
Jharsuguda,Belpahar,Belpahar CHC,https://goo.gl/maps/oTTP34RmHnmhpWia9,06645-250325
Jharsuguda,Laikera,CHC Laikera,https://goo.gl/maps/Xv6iN6j2yEtGJWxZA,06645-250503
Jharsuguda,Kirmira,CHC Kirmira,https://goo.gl/maps/DFa5ZokbCFDrDeqs5,06645-250784
